Fecha,Hora,AE_kWh
09/01/2023,1,"0,744"
09/01/2023,2,"0,150"
09/01/2023,3,"0,094"
09/01/2023,4,"0,096"
09/01/2023,5,"0,125"
09/01/2023,6,"2,564"
09/01/2023,7,"2,249"
09/01/2023,8,"1,631"
09/01/2023,9,"1,542"
09/01/2023,10,"2,406"
09/01/2023,11,"2,452"
09/01/2023,12,"0,569"
09/01/2023,13,"0,163"
09/01/2023,14,"0,866"
09/01/2023,15,"0,976"
09/01/2023,16,"1,055"
09/01/2023,17,"1,095"
09/01/2023,18,"1,212"
09/01/2023,19,"1,689"
09/01/2023,20,"0,792"
09/01/2023,21,"2,135"
09/01/2023,22,"0,834"
09/01/2023,23,"2,063"
09/01/2023,24,"0,060"
10/01/2023,1,"0,102"
10/01/2023,2,"0,166"
10/01/2023,3,"0,519"
10/01/2023,4,"0,634"
10/01/2023,5,"0,406"
10/01/2023,6,"2,591"
10/01/2023,7,"2,508"
10/01/2023,8,"2,524"
10/01/2023,9,"2,136"
10/01/2023,10,"2,091"
10/01/2023,11,"1,544"
10/01/2023,12,"0,983"
10/01/2023,13,"0,683"
10/01/2023,14,"0,366"
10/01/2023,15,"1,253"
10/01/2023,16,"1,269"
10/01/2023,17,"1,705"
10/01/2023,18,"0,974"
10/01/2023,19,"2,162"
10/01/2023,20,"0,966"
10/01/2023,21,"2,052"
10/01/2023,22,"1,279"
10/01/2023,23,"1,778"
10/01/2023,24,"0,188"
11/01/2023,1,"0,065"
11/01/2023,2,"0,087"
11/01/2023,3,"0,668"
11/01/2023,4,"0,323"
11/01/2023,5,"0,961"
11/01/2023,6,"2,603"
11/01/2023,7,"2,495"
11/01/2023,8,"2,240"
11/01/2023,9,"1,898"
11/01/2023,10,"2,033"
11/01/2023,11,"1,641"
11/01/2023,12,"1,337"
11/01/2023,13,"0,326"
11/01/2023,14,"0,232"
11/01/2023,15,"2,682"
11/01/2023,16,"2,985"
11/01/2023,17,"1,376"
11/01/2023,18,"2,010"
11/01/2023,19,"1,837"
11/01/2023,20,"1,403"
11/01/2023,21,"2,872"
11/01/2023,22,"0,645"
11/01/2023,23,"0,564"
11/01/2023,24,"0,330"
12/01/2023,1,"0,128"
12/01/2023,2,"0,125"
12/01/2023,3,"0,290"
12/01/2023,4,"0,488"
12/01/2023,5,"0,722"
12/01/2023,6,"2,662"
12/01/2023,7,"2,630"
12/01/2023,8,"2,603"
12/01/2023,9,"2,652"
12/01/2023,10,"2,773"
12/01/2023,11,"2,637"
12/01/2023,12,"1,690"
12/01/2023,13,"0,113"
12/01/2023,14,"0,594"
12/01/2023,15,"1,447"
12/01/2023,16,"1,227"
12/01/2023,17,"1,666"
12/01/2023,18,"2,038"
12/01/2023,19,"4,490"
12/01/2023,20,"3,377"
12/01/2023,21,"2,256"
12/01/2023,22,"1,639"
12/01/2023,23,"0,419"
12/01/2023,24,"0,133"
13/01/2023,1,"0,085"
13/01/2023,2,"0,166"
13/01/2023,3,"0,125"
13/01/2023,4,"0,544"
13/01/2023,5,"0,174"
13/01/2023,6,"2,678"
13/01/2023,7,"2,495"
13/01/2023,8,"1,898"
13/01/2023,9,"1,969"
13/01/2023,10,"2,273"
13/01/2023,11,"2,406"
13/01/2023,12,"0,474"
13/01/2023,13,"0,115"
13/01/2023,14,"0,099"
13/01/2023,15,"1,336"
13/01/2023,16,"4,140"
13/01/2023,17,"0,551"
13/01/2023,18,"1,582"
13/01/2023,19,"1,762"
13/01/2023,20,"1,606"
13/01/2023,21,"3,928"
13/01/2023,22,"2,894"
13/01/2023,23,"2,577"
13/01/2023,24,"2,752"
14/01/2023,1,"1,158"
14/01/2023,2,"0,134"
14/01/2023,3,"0,087"
14/01/2023,4,"0,085"
14/01/2023,5,"0,114"
14/01/2023,6,"2,647"
14/01/2023,7,"2,586"
14/01/2023,8,"2,578"
14/01/2023,9,"2,604"
14/01/2023,10,"2,665"
14/01/2023,11,"3,033"
14/01/2023,12,"0,665"
14/01/2023,13,"2,397"
14/01/2023,14,"1,411"
14/01/2023,15,"1,190"
14/01/2023,16,"1,429"
14/01/2023,17,"0,963"
14/01/2023,18,"2,254"
14/01/2023,19,"2,506"
14/01/2023,20,"0,249"
14/01/2023,21,"0,235"
14/01/2023,22,"1,020"
14/01/2023,23,"1,661"
14/01/2023,24,"2,296"
15/01/2023,1,"2,773"
15/01/2023,2,"0,521"
15/01/2023,3,"0,126"
15/01/2023,4,"0,087"
15/01/2023,5,"0,105"
15/01/2023,6,"2,700"
15/01/2023,7,"1,232"
15/01/2023,8,"2,041"
15/01/2023,9,"0,862"
15/01/2023,10,"1,744"
15/01/2023,11,"0,604"
15/01/2023,12,"0,475"
15/01/2023,13,"0,266"
15/01/2023,14,"0,485"
15/01/2023,15,"1,168"
15/01/2023,16,"0,496"
15/01/2023,17,"1,610"
15/01/2023,18,"0,782"
15/01/2023,19,"3,306"
15/01/2023,20,"3,928"
15/01/2023,21,"4,273"
15/01/2023,22,"3,103"
15/01/2023,23,"0,771"
15/01/2023,24,"0,252"
16/01/2023,1,"0,133"
16/01/2023,2,"0,083"
16/01/2023,3,"0,119"
16/01/2023,4,"0,714"
16/01/2023,5,"0,421"
16/01/2023,6,"2,665"
16/01/2023,7,"2,754"
16/01/2023,8,"2,669"
16/01/2023,9,"1,803"
16/01/2023,10,"2,581"
16/01/2023,11,"1,139"
16/01/2023,12,"0,135"
16/01/2023,13,"0,097"
16/01/2023,14,"0,096"
16/01/2023,15,"0,262"
16/01/2023,16,"3,076"
16/01/2023,17,"2,301"
16/01/2023,18,"0,164"
16/01/2023,19,"0,120"
16/01/2023,20,"0,832"
16/01/2023,21,"3,294"
16/01/2023,22,"2,491"
16/01/2023,23,"0,192"
16/01/2023,24,"0,118"
17/01/2023,1,"0,512"
17/01/2023,2,"0,675"
17/01/2023,3,"0,636"
17/01/2023,4,"0,516"
17/01/2023,5,"0,842"
17/01/2023,6,"2,655"
17/01/2023,7,"2,634"
17/01/2023,8,"2,198"
17/01/2023,9,"2,385"
17/01/2023,10,"1,980"
17/01/2023,11,"0,129"
17/01/2023,12,"0,099"
17/01/2023,13,"0,110"
17/01/2023,14,"0,096"
17/01/2023,15,"0,245"
17/01/2023,16,"3,611"
17/01/2023,17,"1,750"
17/01/2023,18,"0,131"
17/01/2023,19,"0,080"
17/01/2023,20,"0,103"
17/01/2023,21,"0,074"
17/01/2023,22,"0,076"
17/01/2023,23,"0,104"
17/01/2023,24,"0,794"
18/01/2023,1,"2,513"
18/01/2023,2,"0,775"
18/01/2023,3,"1,436"
18/01/2023,4,"1,419"
18/01/2023,5,"0,898"
18/01/2023,6,"2,631"
18/01/2023,7,"2,559"
18/01/2023,8,"3,439"
18/01/2023,9,"2,821"
18/01/2023,10,"2,697"
18/01/2023,11,"2,542"
18/01/2023,12,"2,245"
18/01/2023,13,"0,179"
18/01/2023,14,"1,803"
18/01/2023,15,"1,202"
18/01/2023,16,"2,154"
18/01/2023,17,"1,550"
18/01/2023,18,"2,207"
18/01/2023,19,"1,592"
18/01/2023,20,"2,674"
18/01/2023,21,"2,500"
18/01/2023,22,"1,515"
18/01/2023,23,"1,706"
18/01/2023,24,"0,882"
19/01/2023,1,"1,833"
19/01/2023,2,"0,876"
19/01/2023,3,"1,629"
19/01/2023,4,"1,451"
19/01/2023,5,"1,354"
19/01/2023,6,"2,117"
19/01/2023,7,"2,773"
19/01/2023,8,"2,912"
19/01/2023,9,"2,666"
19/01/2023,10,"2,557"
19/01/2023,11,"2,536"
19/01/2023,12,"1,741"
19/01/2023,13,"1,140"
19/01/2023,14,"1,108"
19/01/2023,15,"2,279"
19/01/2023,16,"2,687"
19/01/2023,17,"1,759"
19/01/2023,18,"2,392"
19/01/2023,19,"2,540"
19/01/2023,20,"1,838"
19/01/2023,21,"2,508"
19/01/2023,22,"2,089"
19/01/2023,23,"0,168"
19/01/2023,24,"0,156"
20/01/2023,1,"1,106"
20/01/2023,2,"0,629"
20/01/2023,3,"1,275"
20/01/2023,4,"0,953"
20/01/2023,5,"1,049"
20/01/2023,6,"1,685"
20/01/2023,7,"2,772"
20/01/2023,8,"2,663"
20/01/2023,9,"2,580"
20/01/2023,10,"2,881"
20/01/2023,11,"2,345"
20/01/2023,12,"1,396"
20/01/2023,13,"1,051"
20/01/2023,14,"0,878"
20/01/2023,15,"1,881"
20/01/2023,16,"2,013"
20/01/2023,17,"1,566"
20/01/2023,18,"1,571"
20/01/2023,19,"2,721"
20/01/2023,20,"1,551"
20/01/2023,21,"2,589"
20/01/2023,22,"1,992"
20/01/2023,23,"0,224"
20/01/2023,24,"0,391"
21/01/2023,1,"1,998"
21/01/2023,2,"2,727"
21/01/2023,3,"3,613"
21/01/2023,4,"3,677"
21/01/2023,5,"0,442"
21/01/2023,6,"2,020"
21/01/2023,7,"2,637"
21/01/2023,8,"2,609"
21/01/2023,9,"2,609"
21/01/2023,10,"2,557"
21/01/2023,11,"2,660"
21/01/2023,12,"2,590"
21/01/2023,13,"2,587"
21/01/2023,14,"2,578"
21/01/2023,15,"2,551"
21/01/2023,16,"2,596"
21/01/2023,17,"2,613"
21/01/2023,18,"2,632"
21/01/2023,19,"2,576"
21/01/2023,20,"2,338"
21/01/2023,21,"2,160"
21/01/2023,22,"2,697"
21/01/2023,23,"2,750"
21/01/2023,24,"0,680"
22/01/2023,1,"2,676"
22/01/2023,2,"1,270"
22/01/2023,3,"1,052"
22/01/2023,4,"2,695"
22/01/2023,5,"1,794"
22/01/2023,6,"2,390"
22/01/2023,7,"1,975"
22/01/2023,8,"2,142"
22/01/2023,9,"2,306"
22/01/2023,10,"2,001"
22/01/2023,11,"1,576"
22/01/2023,12,"1,615"
22/01/2023,13,"4,578"
